"","Latitude","Longitude"
"1115",34.02,-118.4
"1116",37.34,-122.07
"1117",37.32,-122.01
"1118",37.34,-122.01
"1119",37.32,-122.03
"1120",37.34,-122.03
"1121",37.34,-122.04
"1122",37.32,-122.02
"1123",37.32,-122.04
"1124",33.8,-118.01
"1125",33.8,-118.01
"1126",33.82,-118.03
"1127",33.82,-118.06
"1128",37.67,-122.47
"1129",37.7,-122.48
"1130",37.67,-122.47
"1131",37.7,-122.48
"1132",37.67,-122.47
"1133",37.7,-122.46
"1134",33.49,-117.7
"1135",33.47,-117.7
"1136",33.49,-117.72
"1137",33.49,-117.7
"1138",33.48,-117.68
"1139",37.82,-122
"1140",37.8,-121.92
"1141",37.8,-121.92
"1142",37.82,-122
"1143",37.8,-121.92
"1144",37.81,-121.99
"1145",38.56,-121.7
"1146",38.55,-121.7
"1147",38.56,-121.77
"1148",38.54,-121.76
"1149",38.54,-121.72
"1150",38.54,-121.74
"1151",38.56,-121.77
"1152",38.55,-121.76
"1153",38.54,-121.75
"1154",32.98,-117.25
